db,spec_code,species,length
fb,566,stolephorus commersonnii,12.699999809265137
fb,567,stolephorus dubiosus,7.5
fb,568,stolephorus holodon,7.95
fb,569,stolephorus indicus,15.42
fb,570,anchoa mundeoloides,15
fb,571,stolephorus insularis,7
fb,572,labrus bergylta,44.25
fb,573,stolephorus multibranchus,6
fb,574,stolephorus nelsoni,8.850000143051147
fb,575,stolephorus pacificus,7.699999809265137
fb,576,stolephorus ronquilloi,5.300000190734863
fb,577,stolephorus tri,7.199999809265137
fb,578,stolephorus waitei,8.899999618530273
fb,580,thryssa adelae,11
fb,581,thryssa aestuaria,14
fb,582,thryssa baelama,11.800000190734863
fb,583,thryssa brevicauda,7.5
fb,584,thryssa chefuensis,12.199999809265137
fb,585,thryssa dayi,23.5
fb,586,thryssa dussumieri,11
fb,587,thryssa encrasicholoides,10.699999809265137
fb,588,thryssa gautamiensis,21.5
fb,589,thryssa hamiltonii,20.2
fb,590,thryssa kammalensis,12
fb,591,thryssa kammalensoides,11.199999809265137
fb,592,thryssa malabarica,17.5
fb,593,thryssa marasriae,6.900000095367432
fb,594,thryssa mystax,19
fb,595,thryssa polybranchialis,17.55
fb,596,thryssa purava,16.399999618530273
fb,597,thryssa rastrosa,12
fb,598,thryssa scratchleyi,40
fb,599,thryssa setirostris,15.5
fb,600,thryssa spinidens,16.5
fb,601,thryssa stenosoma,15
fb,602,thryssa vitrirostris,20
fb,603,thryssa whiteheadi,15.800000190734863
fb,604,lycothrissa crocodilus,30
fb,605,papuengraulis micropinna,12
fb,607,setipinna brevifilis,27.28
fb,608,setipinna melanochir,25
fb,609,setipinna paxtoni,11
fb,610,setipinna phasa,29.5
fb,611,setipinna taty,15.799999713897705
fb,612,setipinna tenuifilis,21.05
fb,613,setipinna wheeleri,30
fb,614,coilia borneensis,12.399999618530272
fb,615,coilia brachygnathus,35.400000762939456
fb,616,lampanyctus alatus,5.0899999141693115
fb,617,lampanyctus crocodilus,19.35
fb,619,lepidophanes gaussi,5
