sciname,aphia_id,valid_sciname
lamiopsis tephrodes,712379,lamiopsis tephrodes
lamna ditropis,271421,lamna ditropis
lamna nasus,105841,lamna nasus
leptocharias smithii,105804,leptocharias smithii
leucoraja caribbaea,271563,leucoraja caribbaea
leucoraja circularis,105873,leucoraja circularis
leucoraja compagnoi,217397,leucoraja compagnoi
leucoraja elaineae,1523884,leucoraja elaineae
leucoraja fullonica,105874,leucoraja fullonica
leucoraja garmani,158552,leucoraja garmani
leucoraja lentiginosa,271564,leucoraja lentiginosa
leucoraja leucosticta,271565,leucoraja leucosticta
leucoraja melitensis,105875,leucoraja melitensis
leucoraja naevus,105876,leucoraja naevus
leucoraja ocellata,158553,leucoraja ocellata
leucoraja pristispina,398305,leucoraja pristispina
leucoraja virginica,271566,leucoraja virginica
leucoraja wallacei,217396,leucoraja wallacei
leucoraja yucatanensis,271567,leucoraja yucatanensis
loxodon macrorhinus,217355,loxodon macrorhinus
maculabatis ambigua,1042728,maculabatis ambigua
maculabatis arabica,1042747,maculabatis arabica
maculabatis astra,1042866,maculabatis astra
maculabatis bineeshi,1042748,maculabatis bineeshi
maculabatis gerrardi,1042867,maculabatis gerrardi
maculabatis macrura,1468723,maculabatis macrura
maculabatis pastinacoides,1042868,maculabatis pastinacoides
maculabatis randalli,1468727,maculabatis randalli
maculabatis toshi,1042869,maculabatis toshi
malacoraja kreffti,105877,malacoraja kreffti
