category,sub_category,spp_gp,trait_val,sheet
foraging range,"if one/few, size",Paroctopus,na,cephalopods
foraging range,sub-population dependence on particular sites,Paroctopus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pteroctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pteroctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pteroctopus,na,cephalopods
foraging range,"if one/few, size",Pteroctopus,na,cephalopods
foraging range,sub-population dependence on particular sites,Pteroctopus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Robsonella fontanianus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Robsonella fontanianus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Robsonella fontanianus,na,cephalopods
foraging range,"if one/few, size",Robsonella fontanianus,na,cephalopods
foraging range,sub-population dependence on particular sites,Robsonella fontanianus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Scaergus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Scaergus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Scaergus,na,cephalopods
foraging range,"if one/few, size",Scaergus,na,cephalopods
foraging range,sub-population dependence on particular sites,Scaergus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thaumoctopus mimicus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Thaumoctopus mimicus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thaumoctopus mimicus,na,cephalopods
foraging range,"if one/few, size",Thaumoctopus mimicus,na,cephalopods
foraging range,sub-population dependence on particular sites,Thaumoctopus mimicus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Wunderpus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Wunderpus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Wunderpus,na,cephalopods
foraging range,"if one/few, size",Wunderpus,na,cephalopods
foraging range,sub-population dependence on particular sites,Wunderpus,na,cephalopods
adult body mass/body size,NA,Acropora,na,corals
adult body mass/body size,NA,Porites,na,corals
adult body mass/body size,NA,Pocillopora,na,corals
adult body mass/body size,NA,Diploastrea heliopora,na,corals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Palaemon elegans,na,crustacea_arthropods
can the sex ratio be altered by a stressor?,NA,Breviturma brevipes,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviturma brevipes,na,echinoderms
foraging range,"if one/few, size",Breviturma brevipes,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviturma brevipes,na,echinoderms
depth (min/max),NA,Breviturma brevipes,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Breviturma dentata,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviturma dentata,na,echinoderms
foraging range,"if one/few, size",Breviturma dentata,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviturma dentata,na,echinoderms
depth (min/max),NA,Breviturma dentata,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Breviturma doederleini,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviturma doederleini,na,echinoderms
foraging range,"if one/few, size",Breviturma doederleini,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviturma doederleini,na,echinoderms
depth (min/max),NA,Breviturma doederleini,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Breviturma longispina,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviturma longispina,na,echinoderms
foraging range,"if one/few, size",Breviturma longispina,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviturma longispina,na,echinoderms
depth (min/max),NA,Breviturma longispina,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Breviterma pica,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviterma pica,na,echinoderms
foraging range,"if one/few, size",Breviterma pica,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviterma pica,na,echinoderms
depth (min/max),NA,Breviterma pica,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Breviterma pusilla,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Breviterma pusilla,na,echinoderms
foraging range,"if one/few, size",Breviterma pusilla,na,echinoderms
foraging range,sub-population dependence on particular sites,Breviterma pusilla,na,echinoderms
depth (min/max),NA,Breviterma pusilla,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocoma aethiops,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocoma aethiops,na,echinoderms
foraging range,"if one/few, size",Ophiocoma aethiops,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocoma aethiops,na,echinoderms
depth (min/max),NA,Ophiocoma aethiops,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocoma echinata,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocoma echinata,na,echinoderms
foraging range,"if one/few, size",Ophiocoma echinata,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocoma echinata,na,echinoderms
depth (min/max),NA,Ophiocoma echinata,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocoma erinaceus,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocoma erinaceus,na,echinoderms
foraging range,"if one/few, size",Ophiocoma erinaceus,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocoma erinaceus,na,echinoderms
depth (min/max),NA,Ophiocoma erinaceus,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocoma scolopendrina,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocoma scolopendrina,na,echinoderms
foraging range,"if one/few, size",Ophiocoma scolopendrina,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocoma scolopendrina,na,echinoderms
depth (min/max),NA,Ophiocoma scolopendrina,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocomella alexandri,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocomella alexandri,na,echinoderms
foraging range,"if one/few, size",Ophiocomella alexandri,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocomella alexandri,na,echinoderms
depth (min/max),NA,Ophiocomella alexandri,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocomella ophiactoides,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocomella ophiactoides,na,echinoderms
foraging range,"if one/few, size",Ophiocomella ophiactoides,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocomella ophiactoides,na,echinoderms
depth (min/max),NA,Ophiocomella ophiactoides,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiocomella pumila,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiocomella pumila,na,echinoderms
foraging range,"if one/few, size",Ophiocomella pumila,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiocomella pumila,na,echinoderms
depth (min/max),NA,Ophiocomella pumila,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix annulosa,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix annulosa,na,echinoderms
foraging range,"if one/few, size",Ophiomastix annulosa,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix annulosa,na,echinoderms
depth (min/max),NA,Ophiomastix annulosa,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix caryophyllata,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix caryophyllata,na,echinoderms
foraging range,"if one/few, size",Ophiomastix caryophyllata,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix caryophyllata,na,echinoderms
depth (min/max),NA,Ophiomastix caryophyllata,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix elegans,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix elegans,na,echinoderms
foraging range,"if one/few, size",Ophiomastix elegans,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix elegans,na,echinoderms
depth (min/max),NA,Ophiomastix elegans,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix endeani,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix endeani,na,echinoderms
foraging range,"if one/few, size",Ophiomastix endeani,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix endeani,na,echinoderms
depth (min/max),NA,Ophiomastix endeani,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix janualis,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix janualis,na,echinoderms
foraging range,"if one/few, size",Ophiomastix janualis,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix janualis,na,echinoderms
depth (min/max),NA,Ophiomastix janualis,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix macroplaca,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix macroplaca,na,echinoderms
foraging range,"if one/few, size",Ophiomastix macroplaca,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix macroplaca,na,echinoderms
depth (min/max),NA,Ophiomastix macroplaca,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix marshallensis,na,echinoderms
