am_sid,name,rank
Fis-27781,Metazoa,kingdom
Fis-27781,Chordata,phylum
Fis-27781,Actinopteri,class
Fis-27781,Priacanthiformes,order
Fis-27781,Cepolidae,family
Fis-27781,Acanthocepola,genus
Fis-27781,Acanthocepola abbreviata,species
Fis-62878,Metazoa,kingdom
Fis-62878,Chordata,phylum
Fis-62878,Actinopteri,class
Fis-62878,Priacanthiformes,order
Fis-62878,Cepolidae,family
Fis-62878,Acanthocepola,genus
Fis-62878,Acanthocepola krusensternii,species
Fis-27337,Metazoa,kingdom
Fis-27337,Chordata,phylum
Fis-27337,Actinopteri,class
Fis-27337,Priacanthiformes,order
Fis-27337,Cepolidae,family
Fis-27337,Acanthocepola,genus
Fis-27337,Acanthocepola limbata,species
Fis-131546,Metazoa,kingdom
Fis-131546,Chordata,phylum
Fis-131546,Actinopteri,class
Fis-131546,Beryciformes,order
Fis-131546,Stephanoberycidae,family
Fis-131546,Acanthochaenus,genus
Fis-131546,Acanthochaenus luetkenii,species
W-Por-170385,Metazoa,kingdom
W-Por-170385,Porifera,phylum
W-Por-170385,Demospongiae,class
W-Por-170385,Clionaida,order
W-Por-170385,Acanthochaetetidae,family
W-Por-170385,Acanthochaetetes,genus
W-Por-170385,Acanthochaetetes wellsi,species
W-Msc-138677,Metazoa,kingdom
W-Msc-138677,Mollusca,phylum
W-Msc-138677,Polyplacophora,class
W-Msc-138677,Chitonida,order
W-Msc-138677,Acanthochitonidae,family
W-Msc-138677,Acanthochitona,genus
W-Msc-138677,Acanthochitona fascicularis,species
W-Msc-386489,Metazoa,kingdom
W-Msc-386489,Mollusca,phylum
W-Msc-386489,Polyplacophora,class
W-Msc-386489,Chitonida,order
W-Msc-386489,Acanthochitonidae,family
W-Msc-386489,Acanthochitona,genus
W-Msc-386489,Acanthochitona hemphilli,species
W-Msc-386508,Metazoa,kingdom
W-Msc-386508,Mollusca,phylum
W-Msc-386508,Polyplacophora,class
W-Msc-386508,Chitonida,order
W-Msc-386508,Acanthochitonidae,family
W-Msc-386508,Acanthochitona,genus
W-Msc-386508,Acanthochitona pygmaea,species
W-Msc-386511,Metazoa,kingdom
W-Msc-386511,Mollusca,phylum
W-Msc-386511,Polyplacophora,class
W-Msc-386511,Chitonida,order
W-Msc-386511,Acanthochitonidae,family
W-Msc-386511,Acanthochitona,genus
W-Msc-386511,Acanthochitona rhodea,species
Fis-26242,Metazoa,kingdom
Fis-26242,Chordata,phylum
Fis-26242,Actinopteri,class
Fis-26242,Pomacentridae,family
Fis-26242,Acanthochromis,genus
Fis-26242,Acanthochromis polyacanthus,species
Fis-35392,Metazoa,kingdom
Fis-35392,Chordata,phylum
Fis-35392,Actinopteri,class
Fis-35392,Plesiopidae,family
Fis-35392,Acanthoclinus,genus
Fis-35392,Acanthoclinus fuscus,species
Fis-22735,Metazoa,kingdom
Fis-22735,Chordata,phylum
Fis-22735,Actinopteri,class
Fis-22735,Scombriformes,order
Fis-22735,Scombridae,family
Fis-22735,Acanthocybium,genus
Fis-22735,Acanthocybium solandri,species
W-Bch-440279,Metazoa,kingdom
W-Bch-440279,Arthropoda,phylum
W-Bch-440279,Malacostraca,class
W-Bch-440279,Decapoda,order
W-Bch-440279,Belliidae,family
W-Bch-440279,Acanthocyclus,genus
W-Bch-440279,Acanthocyclus albatrossis,species
W-Gtr-114618,Metazoa,kingdom
W-Gtr-114618,Gastrotricha,phylum
W-Gtr-114618,Macrodasyida,order
W-Gtr-114618,Thaumastodermatidae,family
W-Gtr-114618,Acanthodasys,genus
W-Gtr-114618,Acanthodasys aculeatus,species
W-Por-164888,Metazoa,kingdom
W-Por-164888,Porifera,phylum
W-Por-164888,Demospongiae,class
W-Por-164888,Dendroceratida,order
W-Por-164888,Dictyodendrillidae,family
W-Por-164888,Acanthodendrilla,genus
W-Por-164888,Acanthodendrilla australis,species
W-Msc-140627,Metazoa,kingdom
W-Msc-140627,Mollusca,phylum
W-Msc-140627,Gastropoda,class
W-Msc-140627,Nudibranchia,order
W-Msc-140627,Onchidorididae,family
W-Msc-140627,Acanthodoris,genus
W-Msc-140627,Acanthodoris pilosa,species
Fis-133560,Metazoa,kingdom
Fis-133560,Chordata,phylum
Fis-133560,Actinopteri,class
Fis-133560,Perciformes,order
Fis-133560,Bathydraconidae,family
Fis-133560,Acanthodraco,genus
Fis-133560,Acanthodraco dewitti,species
Fis-24398,Metazoa,kingdom
Fis-24398,Chordata,phylum
Fis-24398,Actinopteri,class
Fis-24398,Gobiiformes,order
Fis-24398,Gobiidae,family
Fis-24398,Acanthogobius,genus
Fis-24398,Acanthogobius flavimanus,species
Fis-26619,Metazoa,kingdom
Fis-26619,Chordata,phylum
Fis-26619,Actinopteri,class
Fis-26619,Labriformes,order
Fis-26619,Labridae,family
Fis-26619,Acantholabrus,genus
