rank,name,id,species,db
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus zebra,1213687,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus mexicanus,1072509,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus galeatus,495858,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus japonicus,95544,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus portusjacksoni,7793,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus francisci,7792,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,parascylliidae,1213740,galeomorphii,ncbi
genus,cirrhoscyllium,1213743,galeomorphii,ncbi
species,cirrhoscyllium japonicum,2608425,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,parascylliidae,1213740,galeomorphii,ncbi
genus,cirrhoscyllium,1213743,galeomorphii,ncbi
species,cirrhoscyllium expolitum,1604519,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,parascylliidae,1213740,galeomorphii,ncbi
genus,cirrhoscyllium,1213743,galeomorphii,ncbi
species,cirrhoscyllium formosanum,1443567,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,parascylliidae,1213740,galeomorphii,ncbi
genus,parascyllium,1213741,galeomorphii,ncbi
species,parascyllium ferrugineum,1680613,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,parascylliidae,1213740,galeomorphii,ncbi
genus,parascyllium,1213741,galeomorphii,ncbi
species,parascyllium collare,1213742,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,brachaeluridae,582432,galeomorphii,ncbi
genus,brachaelurus,582433,galeomorphii,ncbi
species,brachaelurus colcloughi,1213667,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,brachaeluridae,582432,galeomorphii,ncbi
genus,brachaelurus,582433,galeomorphii,ncbi
species,brachaelurus waddi,582434,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,stegostomatidae,378069,galeomorphii,ncbi
genus,stegostoma,378070,galeomorphii,ncbi
species,stegostoma fasciatum,378071,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,rhincodontidae,259919,galeomorphii,ncbi
genus,rhincodon,1849765,galeomorphii,ncbi
species,rhincodon typus,259920,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,orectolobidae,168096,galeomorphii,ncbi
genus,eucrossorhinus,582435,galeomorphii,ncbi
species,eucrossorhinus dasypogon,582436,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,orectolobidae,168096,galeomorphii,ncbi
genus,sutorectus,496410,galeomorphii,ncbi
species,sutorectus tentaculatus,496411,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,orectolobidae,168096,galeomorphii,ncbi
genus,orectolobus,168097,galeomorphii,ncbi
species,orectolobus reticulatus,1443577,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,galeoidea,119195,galeomorphii,ncbi
order,orectolobiformes,30503,galeomorphii,ncbi
family,orectolobidae,168096,galeomorphii,ncbi
